,IsDraw,Winteam,Lossteam,gameplayed
0,False,Chick Park,Perth On Heat,1.0
1,False,Nedlands Yung Puccboiz,Fremantle Cappuccino Strippers,1.0
2,True,Como Cunstables,Applecross Dressers,1.0
3,False,Jolimont Flying Vs,Coolbinia Cruisers,1.0
4,False,Freopian Tubes,Freovaries,1.0
5,False,Joondnanna Jerryhatricks,Dianella Dirty Street Pies,1.0
6,False,Fremantle Cappuccino Strippers,Beachside Bellends,1.0
7,False,Freopian Tubes,Chick Park,1.0
8,False,Applecross Dressers,Freovaries,1.0
9,False,Joondnanna Jerryhatricks,Coolbinia Cruisers,1.0
10,False,Jolimont Flying Vs,Como Cunstables,1.0
11,False,Perth On Heat,Dianella Dirty Street Pies,1.0
12,False,Applecross Dressers,Jolimont Flying Vs,1.0
13,False,Beachside Bellends,Dianella Dirty Street Pies,1.0
14,False,Coolbinia Cruisers,Freovaries,1.0
15,False,Nedlands Yung Puccboiz,Joondnanna Jerryhatricks,1.0
16,False,Perth On Heat,Fremantle Cappuccino Strippers,1.0
17,False,Como Cunstables,Freopian Tubes,1.0
18,False,Como Cunstables,Beachside Bellends,1.0
19,False,Coolbinia Cruisers,Dianella Dirty Street Pies,1.0
20,False,Freopian Tubes,Applecross Dressers,1.0
21,False,Chick Park,Fremantle Cappuccino Strippers,1.0
22,False,Perth On Heat,Nedlands Yung Puccboiz,1.0
23,True,Joondnanna Jerryhatricks,Jolimont Flying Vs,1.0
24,False,Beachside Bellends,Applecross Dressers,1.0
25,False,Fremantle Cappuccino Strippers,Freovaries,1.0
26,False,Chick Park,Nedlands Yung Puccboiz,1.0
27,False,Joondnanna Jerryhatricks,Perth On Heat,1.0
28,False,Freopian Tubes,Jolimont Flying Vs,1.0
29,False,Como Cunstables,Dianella Dirty Street Pies,1.0
31,False,Beachside Bellends,Jolimont Flying Vs,1.0
32,False,Freopian Tubes,Nedlands Yung Puccboiz,1.0
33,False,Freovaries,Dianella Dirty Street Pies,1.0
34,False,Fremantle Cappuccino Strippers,Coolbinia Cruisers,1.0
35,False,Chick Park,Joondnanna Jerryhatricks,1.0
36,False,Como Cunstables,Joondnanna Jerryhatricks,1.0
37,False,Perth On Heat,Coolbinia Cruisers,1.0
38,False,Freopian Tubes,Dianella Dirty Street Pies,1.0
39,False,Chick Park,Freovaries,1.0
40,False,Beachside Bellends,Nedlands Yung Puccboiz,1.0
41,True,Fremantle Cappuccino Strippers,Jolimont Flying Vs,1.0
42,False,Joondnanna Jerryhatricks,Freovaries,1.0
43,False,Beachside Bellends,Perth On Heat,1.0
44,False,Como Cunstables,Nedlands Yung Puccboiz,1.0
45,False,Jolimont Flying Vs,Chick Park,1.0
46,False,Applecross Dressers,Dianella Dirty Street Pies,1.0
47,False,Freopian Tubes,Coolbinia Cruisers,1.0
48,False,Joondnanna Jerryhatricks,Applecross Dressers,1.0
49,False,Chick Park,Dianella Dirty Street Pies,1.0
50,False,Nedlands Yung Puccboiz,Coolbinia Cruisers,1.0
51,False,Como Cunstables,Fremantle Cappuccino Strippers,1.0
52,False,Perth On Heat,Freovaries,1.0
53,True,Freopian Tubes,Beachside Bellends,1.0
54,False,Chick Park,Applecross Dressers,1.0
55,False,Beachside Bellends,Coolbinia Cruisers,1.0
56,False,Fremantle Cappuccino Strippers,Dianella Dirty Street Pies,1.0
57,False,Joondnanna Jerryhatricks,Freopian Tubes,1.0
58,False,Como Cunstables,Freovaries,1.0
59,False,Nedlands Yung Puccboiz,Jolimont Flying Vs,1.0
60,False,Nedlands Yung Puccboiz,Applecross Dressers,1.0
61,False,Beachside Bellends,Chick Park,1.0
62,False,Como Cunstables,Coolbinia Cruisers,1.0
63,False,Jolimont Flying Vs,Freovaries,1.0
64,False,Freopian Tubes,Perth On Heat,1.0
65,False,Fremantle Cappuccino Strippers,Joondnanna Jerryhatricks,1.0
66,False,Fremantle Cappuccino Strippers,Applecross Dressers,1.0
67,False,Beachside Bellends,Joondnanna Jerryhatricks,1.0
68,False,Perth On Heat,Como Cunstables,1.0
69,False,Chick Park,Coolbinia Cruisers,1.0
70,False,Jolimont Flying Vs,Dianella Dirty Street Pies,1.0
71,False,Freovaries,Nedlands Yung Puccboiz,1.0
72,False,Chick Park,Como Cunstables,1.0
73,False,Nedlands Yung Puccboiz,Dianella Dirty Street Pies,1.0
74,False,Applecross Dressers,Coolbinia Cruisers,1.0
75,False,Freopian Tubes,Fremantle Cappuccino Strippers,1.0
76,False,Beachside Bellends,Freovaries,1.0
