ROUND,HOME,SCORE,SCORE,AWAY,OT
1,Chick Park,9,4,Perth On Heat,
1,Fremantle Cappuccino Strippers,12,25,Nedlands Yung Puccboiz,
1,Applecross Dressers,13,14,Como Cunstables,OT
1,Coolbinia Cruisers,7,13,Jolimont Flying Vs,
1,Freopian Tubes,9,3,Freovaries,
1,Dianella Dirty Street Pies,3,19,Joondnanna Jerryhatricks,
2,Beachside Bellends,3,18,Fremantle Cappuccino Strippers,
2,Chick Park,10,12,Freopian Tubes,
2,Freovaries,3,10,Applecross Dressers,
2,Coolbinia Cruisers,5,12,Joondnanna Jerryhatricks,
2,Jolimont Flying Vs,11,8,Como Cunstables,
2,Perth On Heat,14,8,Dianella Dirty Street Pies,
3,Applecross Dressers,17,8,Jolimont Flying Vs,
3,Dianella Dirty Street Pies,7,11,Beachside Bellends,
3,Coolbinia Cruisers,12,3,Freovaries,
3,Joondnanna Jerryhatricks,,,Nedlands Yung Puccboiz,
3,Perth On Heat,8,6,Fremantle Cappuccino Strippers,
3,Como Cunstables,15,7,Freopian Tubes,
4,Como Cunstables,8,6,Beachside Bellends,
4,Dianella Dirty Street Pies,8,10,Coolbinia Cruisers,
4,Freopian Tubes,19,7,Applecross Dressers,
4,Fremantle Cappuccino Strippers,4,5,Chick Park,
4,Nedlands Yung Puccboiz,,,Perth On Heat,
4,Joondnanna Jerryhatricks,8,8,Jolimont Flying Vs,
5,Beachside Bellends,10,6,Applecross Dressers,
5,Freovaries,3,12,Fremantle Cappuccino Strippers,
5,Nedlands Yung Puccboiz,5,13,Chick Park,
5,Perth On Heat,,,Joondnanna Jerryhatricks,
5,Jolimont Flying Vs,7,10,Freopian Tubes,
5,Como Cunstables,19,2,Dianella Dirty Street Pies,
6,Applecross Dressers,10,0,Perth On Heat,
6,Beachside Bellends,10,8,Jolimont Flying Vs,
6,Freopian Tubes,10,3,Nedlands Yung Puccboiz,
6,Freovaries,11,10,Dianella Dirty Street Pies,
6,Fremantle Cappuccino Strippers,7,2,Coolbinia Cruisers,
6,Joondnanna Jerryhatricks,4,17,Chick Park,
7,Joondnanna Jerryhatricks,6,10,Como Cunstables,
7,Perth On Heat,15,5,Coolbinia Cruisers,
7,Freopian Tubes,11,5,Dianella Dirty Street Pies,
7,Chick Park,16,5,Freovaries,
7,Beachside Bellends,8,6,Nedlands Yung Puccboiz,
7,Fremantle Cappuccino Strippers,9,8,Jolimont Flying Vs,OT
8,Freovaries,4,16,Joondnanna Jerryhatricks,
8,Beachside Bellends,7,6,Perth On Heat,
8,Nedlands Yung Puccboiz,9,10,Como Cunstables,
8,Jolimont Flying Vs,9,7,Chick Park,
8,Dianella Dirty Street Pies,7,9,Applecross Dressers,
8,Coolbinia Cruisers,5,10,Freopian Tubes,
9,Applecross Dressers,3,10,Joondnanna Jerryhatricks,
9,Chick Park,12,5,Dianella Dirty Street Pies,
9,Nedlands Yung Puccboiz,14,3,Coolbinia Cruisers,
9,Como Cunstables,8,7,Fremantle Cappuccino Strippers,
9,Perth On Heat,15,6,Freovaries,
9,Freopian Tubes,5,5,Beachside Bellends,
10,Applecross Dressers,3,8,Chick Park,
10,Beachside Bellends,12,5,Coolbinia Cruisers,
10,Dianella Dirty Street Pies,7,18,Fremantle Cappuccino Strippers,
10,Joondnanna Jerryhatricks,8,7,Freopian Tubes,
10,Como Cunstables,11,6,Freovaries,
10,Jolimont Flying Vs,6,7,Nedlands Yung Puccboiz,
11,Nedlands Yung Puccboiz,4,2,Applecross Dressers,
11,Chick Park,6,8,Beachside Bellends,
11,Coolbinia Cruisers,6,10,Como Cunstables,
11,Freovaries,10,12,Jolimont Flying Vs,
11,Freopian Tubes,8,3,Perth On Heat,
11,Fremantle Cappuccino Strippers,6,5,Joondnanna Jerryhatricks,
12,Applecross Dressers,8,11,Fremantle Cappuccino Strippers,
12,Joondnanna Jerryhatricks,3,5,Beachside Bellends,
12,Perth On Heat,11,3,Como Cunstables,
12,Chick Park,10,3,Coolbinia Cruisers,
12,Jolimont Flying Vs,10,8,Dianella Dirty Street Pies,
12,Nedlands Yung Puccboiz,,,Freovaries,
13,Como Cunstables,6,12,Chick Park,
13,Dianella Dirty Street Pies,,,Nedlands Yung Puccboiz,
13,Coolbinia Cruisers,2,5,Applecross Dressers,
13,Fremantle Cappuccino Strippers,7,10,Freopian Tubes,
13,Freovaries,3,12,Beachside Bellends,
13,Jolimont Flying Vs,10,0,Perth On Heat,
