,IsDraw,Winteam,Lossteam,gameplayed
0,False,Ardross A-rerollers,Bayswatermelon Breezers,1.0
1,False,Como Cunstables,Chick Park,1.0
2,False,Coolbinia Cruisers,Dianella Dirty Street Pies,1.0
3,False,Freopian tubes,Jolimont Flying Vs,1.0
4,False,Applecross Dressers,Freovaries,1.0
5,False,Joondnanna Jerryhatricks,Dirty Herdy Birdies,1.0
6,True,Perth On Heat,Beachside Belle Ends,1.0
7,False,Fremantle Cappuccino Strippers,Jolimont Flying Vs,1.0
8,False,Freopian tubes,Beachside Belle Ends,1.0
9,False,Dianella Dirty Street Pies,Freovaries,1.0
10,False,Chick Park,Joondnanna Jerryhatricks,1.0
11,False,Fremantle Cappuccino Strippers,Como Cunstables,1.0
12,False,Perth On Heat,Coolbinia Cruisers,1.0
13,False,Applecross Dressers,Ardross A-rerollers,1.0
15,False,Dianella Dirty Street Pies,Bayswatermelon Breezers,1.0
16,False,Perth On Heat,Applecross Dressers,1.0
17,False,Como Cunstables,Ardross A-rerollers,1.0
18,False,Beachside Belle Ends,Coolbinia Cruisers,1.0
19,False,Chick Park,Fremantle Cappuccino Strippers,1.0
20,False,Dirty Herdy Birdies,Jolimont Flying Vs,1.0
21,False,Joondnanna Jerryhatricks,Freopian tubes,1.0
22,False,Ardross A-rerollers,Freovaries,1.0
23,False,Beachside Belle Ends,Applecross Dressers,1.0
24,False,Chick Park,Coolbinia Cruisers,1.0
25,False,Dirty Herdy Birdies,Como Cunstables,1.0
26,False,Freopian tubes,Fremantle Cappuccino Strippers,1.0
27,False,Bayswatermelon Breezers,Freovaries,1.0
28,False,Jolimont Flying Vs,Dianella Dirty Street Pies,1.0
29,False,Perth On Heat,Joondnanna Jerryhatricks,1.0
31,False,Chick Park,Beachside Belle Ends,1.0
32,False,Freopian tubes,Applecross Dressers,1.0
33,False,Coolbinia Cruisers,Freovaries,1.0
34,False,Ardross A-rerollers,Dianella Dirty Street Pies,1.0
35,False,Como Cunstables,Joondnanna Jerryhatricks,1.0
36,False,Jolimont Flying Vs,Bayswatermelon Breezers,1.0
37,True,Dirty Herdy Birdies,Perth On Heat,1.0
38,False,Fremantle Cappuccino Strippers,Applecross Dressers,1.0
39,False,Como Cunstables,Freovaries,1.0
40,False,Beachside Belle Ends,Bayswatermelon Breezers,1.0
41,False,Chick Park,Perth On Heat,1.0
42,False,Freopian tubes,Ardross A-rerollers,1.0
43,False,Coolbinia Cruisers,Jolimont Flying Vs,1.0
44,False,Joondnanna Jerryhatricks,Dianella Dirty Street Pies,1.0
45,False,Freopian tubes,Chick Park,1.0
46,False,Dirty Herdy Birdies,Beachside Belle Ends,1.0
47,False,Como Cunstables,Applecross Dressers,1.0
48,False,Ardross A-rerollers,Joondnanna Jerryhatricks,1.0
49,False,Jolimont Flying Vs,Freovaries,1.0
50,False,Coolbinia Cruisers,Bayswatermelon Breezers,1.0
51,False,Fremantle Cappuccino Strippers,Dianella Dirty Street Pies,1.0
52,False,Ardross A-rerollers,Perth On Heat,1.0
53,False,Freopian tubes,Perth On Heat,1.0
54,False,Dirty Herdy Birdies,Coolbinia Cruisers,1.0
55,False,Como Cunstables,Jolimont Flying Vs,1.0
56,False,Applecross Dressers,Bayswatermelon Breezers,1.0
57,False,Fremantle Cappuccino Strippers,Freovaries,1.0
58,False,Chick Park,Dianella Dirty Street Pies,1.0
59,False,Beachside Belle Ends,Joondnanna Jerryhatricks,1.0
60,False,Dirty Herdy Birdies,Freopian Tubes,1.0
61,False,Beachside Belle Ends,Fremantle Cappuccino Strippers,1.0
63,False,Como Cunstables,Coolbinia Cruisers,1.0
64,False,Bayswatermelon Breezers,Perth On Heat,1.0
65,False,Applecross Dressers,Dianella Dirty Street Pies,1.0
66,False,Joondnanna Jerryhatricks,Freovaries,1.0
67,False,Coolbinia Cruisers,Ardross A-rerollers,1.0
68,False,Freovaries,Freopian Tubes,1.0
69,False,Chick Park,Dirty Herdy Birdies,1.0
70,False,Como Cunstables,Bayswatermelon Breezers,1.0
71,False,Perth On Heat,Dianella Dirty Street Pies,1.0
72,False,Fremantle Cappuccino Strippers,Ardross A-rerollers,1.0
73,False,Joondnanna Jerryhatricks,Applecross Dressers,1.0
75,False,Dirty Herdy Birdies,Applecross Dressers,1.0
76,False,Coolbinia Cruisers,Freopian Tubes,1.0
77,False,Fremantle Cappuccino Strippers,Bayswatermelon Breezers,1.0
78,False,Como Cunstables,Dianella Dirty Street Pies,1.0
79,False,Beachside Belle Ends,Ardross A-rerollers,1.0
80,False,Chick Park,Freovaries,1.0
81,False,Joondnanna Jerryhatricks,Jolimont Flying Vs,1.0
82,False,Jolimont Flying Vs,Perth On Heat,1.0
83,False,Chick Park,Applecross Dressers,1.0
84,False,Freopian tubes,Como Cunstables,1.0
85,False,Ardross A-rerollers,Dirty Herdy Birdies,1.0
86,False,Joondnanna Jerryhatricks,Bayswatermelon Breezers,1.0
87,False,Dianella Dirty Street Pies,Beachside Belle Ends,1.0
88,False,Coolbinia Cruisers,Fremantle Cappuccino Strippers,1.0
89,False,Freovaries,Perth On Heat,1.0
