ROUND,HOME,SCORE,SCORE,AWAY,OT
1,Bayswatermelon Breezers,8,14,Ardross A-rerollers,
1,Chick Park,7,9,Como Cunstables,
1,Dianella Dirty Street Pies,5,20,Coolbinia Cruisers,
1,Freopian tubes,6,5,Jolimont Flying Vs,
1,Freovaries,6,9,Applecross Dressers,
1,Joondnanna Jerryhatricks,8,3,Dirty Herdy Birdies,
1,Perth On Heat,9,9,Beachside Belle Ends,
1,Fremantle Cappuccino Strippers,11,7,Jolimont Flying Vs,
2,Freopian tubes,9,6,Beachside Belle Ends,
2,Freovaries,,,Dianella Dirty Street Pies,
2,Joondnanna Jerryhatricks,8,10,Chick Park,
2,Como Cunstables,6,14,Fremantle Cappuccino Strippers,
2,Perth On Heat,12,5,Coolbinia Cruisers,
2,Applecross Dressers,13,11,Ardross A-rerollers,
2,Bayswatermelon Breezers,0,7,Dirty Herdy Birdies,
3,Dianella Dirty Street Pies,9,8,Bayswatermelon Breezers,
3,Perth On Heat,20,6,Applecross Dressers,
3,Ardross A-rerollers,3,11,Como Cunstables,
3,Beachside Belle Ends,8,7,Coolbinia Cruisers,
3,Fremantle Cappuccino Strippers,6,10,Chick Park,
3,Jolimont Flying Vs,10,12,Dirty Herdy Birdies,
3,Freopian tubes,8,12,Joondnanna Jerryhatricks,
3,Freovaries,8,11,Ardross A-rerollers,
4,Beachside Belle Ends,11,6,Applecross Dressers,
4,Coolbinia Cruisers,4,13,Chick Park,
4,Dirty Herdy Birdies,13,6,Como Cunstables,
4,Fremantle Cappuccino Strippers,6,11,Freopian tubes,
4,Bayswatermelon Breezers,12,6,Freovaries,
4,Jolimont Flying Vs,22,12,Dianella Dirty Street Pies,
4,Joondnanna Jerryhatricks,,,Perth On Heat,
5,Dirty Herdy Birdies,0,3,Fremantle Cappuccino Strippers,
5,Chick Park,9,8,Beachside Belle Ends,
5,Applecross Dressers,3,11,Freopian tubes,
5,Coolbinia Cruisers,13,1,Freovaries,
5,Ardross A-rerollers,14,2,Dianella Dirty Street Pies,
5,Como Cunstables,11,5,Joondnanna Jerryhatricks,
5,Jolimont Flying Vs,14,7,Bayswatermelon Breezers,
5,Dirty Herdy Birdies,8,8,Perth On Heat,
6,Applecross Dressers,4,15,Fremantle Cappuccino Strippers,
6,Como Cunstables,14,7,Freovaries,
6,Beachside Belle Ends,6,1,Bayswatermelon Breezers,
6,Chick Park,10,7,Perth On Heat,
6,Ardross A-rerollers,6,12,Freopian tubes,
6,Coolbinia Cruisers,7,5,Jolimont Flying Vs,
6,Dianella Dirty Street Pies,4,17,Joondnanna Jerryhatricks,
7,Freopian tubes,10,6,Chick Park,
7,Dirty Herdy Birdies,9,5,Beachside Belle Ends,
7,Como Cunstables,4,1,Applecross Dressers,
7,Joondnanna Jerryhatricks,,,Ardross A-rerollers,
7,Freovaries,,,Jolimont Flying Vs,
7,Bayswatermelon Breezers,1,12,Coolbinia Cruisers,
7,Dianella Dirty Street Pies,5,15,Fremantle Cappuccino Strippers,
7,Perth On Heat,6,15,Ardross A-rerollers,
8,Perth On Heat,3,6,Freopian tubes,
8,Coolbinia Cruisers,5,8,Dirty Herdy Birdies,
8,Jolimont Flying Vs,7,11,Como Cunstables,
8,Applecross Dressers,8,7,Bayswatermelon Breezers,
8,Fremantle Cappuccino Strippers,8,6,Freovaries,
8,Dianella Dirty Street Pies,1,11,Chick Park,
8,Beachside Belle Ends,8,1,Joondnanna Jerryhatricks,
9,Freopian Tubes,2,3,Dirty Herdy Birdies,
9,Beachside Belle Ends,6,5,Fremantle Cappuccino Strippers,
9,Chick Park,10,0,Jolimont Flying Vs,
9,Como Cunstables,11,10,Coolbinia Cruisers,
9,Bayswatermelon Breezers,6,5,Perth On Heat,
9,Applecross Dressers,5,2,Dianella Dirty Street Pies,
9,Freovaries,,,Joondnanna Jerryhatricks,
9,Coolbinia Cruisers,9,4,Ardross A-rerollers,
10,Freopian Tubes,,,Freovaries,
10,Dirty Herdy Birdies,7,10,Chick Park,
10,Bayswatermelon Breezers,7,13,Como Cunstables,
10,Dianella Dirty Street Pies,2,12,Perth On Heat,
10,Ardross A-rerollers,6,9,Fremantle Cappuccino Strippers,
10,Joondnanna Jerryhatricks,6,4,Applecross Dressers,
10,Jolimont Flying Vs,0,10,Beachside Belle Ends,
11,Dirty Herdy Birdies,2,1,Applecross Dressers,
11,Coolbinia Cruisers,7,5,Freopian Tubes,
11,Fremantle Cappuccino Strippers,13,5,Bayswatermelon Breezers,
11,Como Cunstables,13,7,Dianella Dirty Street Pies,
11,Ardross A-rerollers,6,8,Beachside Belle Ends,
11,Chick Park,15,6,Freovaries,
11,Jolimont Flying Vs,,,Joondnanna Jerryhatricks,
11,Perth On Heat,,,Jolimont Flying Vs,
12,Applecross Dressers,5,11,Chick Park,
12,Como Cunstables,5,10,Freopian tubes,
12,Ardross A-rerollers,8,6,Dirty Herdy Birdies,
12,Joondnanna Jerryhatricks,6,5,Bayswatermelon Breezers,
12,Beachside Belle Ends,,,Dianella Dirty Street Pies,
12,Fremantle Cappuccino Strippers,3,13,Coolbinia Cruisers,
12,Freovaries,4,3,Perth On Heat,
