,Team,Rating,mu,sigma
0,applecross dressers,"trueskill.Rating(mu=21.785, sigma=2.956)",21.784672489381204,2.9559553799707348
1,como cunstables,"trueskill.Rating(mu=29.029, sigma=3.063)",29.02874319396203,3.063469109466675
2,fremantle cappuccino strippers,"trueskill.Rating(mu=26.050, sigma=2.833)",26.05044358587422,2.8329096674511396
3,freopian tubes,"trueskill.Rating(mu=32.085, sigma=2.832)",32.08483232251178,2.831813695926483
4,jolimont flying vs,"trueskill.Rating(mu=25.420, sigma=2.834)",25.420201389492046,2.833604729922131
5,joondnanna jerryhatricks,"trueskill.Rating(mu=27.852, sigma=2.717)",27.851973587532054,2.7174250585534243
6,nedlands yung puccboiz,"trueskill.Rating(mu=24.154, sigma=2.824)",24.154097534221812,2.824499840240203
7,dianella dirty street pies,"trueskill.Rating(mu=9.484, sigma=4.010)",9.484187910465062,4.009688420243667
8,chick park,"trueskill.Rating(mu=30.466, sigma=2.987)",30.466350719233578,2.987437811678035
9,perth on heat,"trueskill.Rating(mu=28.694, sigma=3.107)",28.693509030455576,3.106897517773123
10,coolbinia cruisers,"trueskill.Rating(mu=16.244, sigma=3.389)",16.24444617451005,3.3887532591138303
11,freovaries,"trueskill.Rating(mu=18.209, sigma=3.408)",18.208747126606564,3.4082000897141063
12,beachside bellends,"trueskill.Rating(mu=32.798, sigma=2.766)",32.798250969263535,2.765707293455271
