,Team,Rating,mu,sigma
0,como cunstables,"trueskill.Rating(mu=29.613, sigma=3.348)",29.613145035262406,3.347992453448653
1,beachside belle ends,"trueskill.Rating(mu=26.839, sigma=2.991)",26.83871614219032,2.9911773480900683
2,joondnanna jerryhatricks,"trueskill.Rating(mu=25.782, sigma=3.020)",25.781646997099013,3.0198320966970384
3,jolimont flying vs,"trueskill.Rating(mu=20.735, sigma=3.343)",20.735250251911477,3.3428823661485523
4,bayswatermelon breezers,"trueskill.Rating(mu=16.727, sigma=3.299)",16.726551123927297,3.2985273978035434
5,chick park,"trueskill.Rating(mu=37.260, sigma=3.511)",37.25981608355175,3.5106857984974007
6,perth on heat,"trueskill.Rating(mu=21.974, sigma=2.640)",21.97428749319981,2.640359492437192
7,beachside bellends,"trueskill.Rating(mu=32.798, sigma=8.333)",32.798250969263528,8.333333333333334
8,applecross dressers,"trueskill.Rating(mu=20.873, sigma=3.298)",20.873103908942813,3.2982740768684615
9,nedlands yung puccboiz,"trueskill.Rating(mu=24.154, sigma=8.333)",24.154097534221812,8.333333333333334
10,ardross a-rerollers,"trueskill.Rating(mu=26.882, sigma=2.786)",26.881935984165086,2.786399984911515
11,fremantle cappuccino strippers,"trueskill.Rating(mu=27.388, sigma=3.181)",27.388028169389585,3.1812346677561356
12,freopian tubes,"trueskill.Rating(mu=29.393, sigma=2.742)",29.392976580662044,2.7417801237628057
13,dirty herdy birdies,"trueskill.Rating(mu=31.676, sigma=2.946)",31.67552050920085,2.946058723816628
14,dianella dirty street pies,"trueskill.Rating(mu=17.740, sigma=3.440)",17.740038200343395,3.4396123142502577
15,coolbinia cruisers,"trueskill.Rating(mu=27.736, sigma=3.011)",27.73629667987254,3.0110302158244693
16,freovaries,"trueskill.Rating(mu=18.832, sigma=3.443)",18.831785980311018,3.443192409771872
