HOME,SCORE,OTL_HOME,OTL_AWAY,SCORE,AWAY
Shenton Park Speed Dealers,13,,,11,Karrakatta Grim Jobs
Floreat Flamingos,12,,,10,Karrinyup Bandits
West Leederville Wobbegongs,,,,,Doubleview Double Yewws
GMLA Guardians,12,,,7,GMLA Angels
South Perth Puckaneers,12,,,8,Bicton Bath Salts
Melville Massiv,7,,,9,Bicton Banter Lords
Mullaloozers,8,OT,,9,Ocean Beef
Dianella Demons,13,,,11,Greenmount Doom
Scarbra Streisands,5,OT,,6,Innaloo Pinguz
Mosman Park Milkmen,6,,,14,Brentwood Bushchooks
Hillarys Humpbacks,6,,,8,Mindarie Molotovs
Willo Wonkas,14,,,15,Parkwood Benders
Perth Glory-Holerz,8,,,21,Maylands Muthapuckas
Como Mo Co,15,,,5,Gravel Road GrindRs
GMLA Jurassic Pucks,21,,,8,Inglewood ColdCuts
Creepy Crawleys,8,,,13,Claremont Cereal Killahs
Hungry Spot Heroes,8,,,9,Mt Pleasant Mounties
North Perth Bald Beavers,9,,,8,Dog Swamp Swamp Dogs
Cottesloe Clam Hunters,3,,,4,Churchlands Hellraisers
Kensington Kermits,,,,,
Innaloominati,7,,,5,Gravel Road GrindRs
Freo Fussy Puckers,8,,,15,Subiaco Silkworms
Whitfords City Wristies,12,,,4,Freo Fussy Puckers
Subiaco Silkworms,,,,,Whitfords City Wristies
Brentwood Bushchooks,18,,,6,Parkwood Benders
Mosman Park Milkmen,8,,,6,Cottesloe Clam Hunters
Churchlands Hellraisers,7,,,9,Doubleview Double Yewws
Scarbra Streisands,9,,,12,GMLA Guardians
Innaloo Pinguz,0,,,10,Mindarie Molotovs
Hillarys Humpbacks,7,,,10,Floreat Flamingos
Greenmount Doom,14,,,12,GMLA Angels
Kensington Kermits,12,,,13,Willo Wonkas
West Leederville Wobbegongs,10,,,0,
Bicton Banter Lords,10,,,9,Mt Pleasant Mounties
Claremont Cereal Killahs,3,,,8,South Perth Puckaneers
Ocean Beef,5,,,6,Karrinyup Bandits
North Perth Bald Beavers,4,,,13,Dianella Demons
Dog Swamp Swamp Dogs,15,,,11,Hungry Spot Heroes
Maylands Muthapuckas,4,,,13,Mullaloozers
Innaloominati,12,,,7,GMLA Jurassic Pucks
Karrakatta Grim Jobs,16,,,8,Bicton Bath Salts
Shenton Park Speed Dealers,14,,,10,Creepy Crawleys
Inglewood Coldcuts,9,,,11,Perth Glory-Holerz
Melville Massiv,9,,,12,Como Mo Co
Mindarie Molotovs,10,,,5,Scarbra Streisands
Brentwood Bushchooks,15,,,9,Como Mo Co
Parkwood Benders,25,,,16,Whitfords City Wristies
GMLA Angels,,,,,Mosman Park Milkmen
GMLA Guardians,12,,,6,Innaloo Pinguz
Churchlands Hellraisers,7,,,6,Floreat Flamingos
Bicton Banter Lords,10,,,6,Kensington Kermits
Karrinyup Bandits,7,OT,OT,7,Willo Wonkas
Cottesloe Clam Hunters,11,,,5,Hillarys Humpbacks
Greenmount Doom,5,,,8,Doubleview Double Yewws
,,,,,Dog Swamp Swamp Dogs
West Leederville Wobbegongs,9,,,6,South Perth Puckaneers
Claremont Cereal Killahs,4,,,19,Dianella Demons
Mt Pleasant Mounties,8,,,10,Shenton Park Speed Dealers
Hungry Spot Heroes,7,,,11,Maylands Muthapuckas
Ocean Beef,3,,,5,North Perth Bald Beavers
Gravel Road GrindRs,13,,,7,Freo Fussy Puckers
Innaloominati,7,,,11,Inglewood ColdCuts
Mullaloozers,10,,,14,Creepy Crawleys
Karrakatta Grim Jobs,3,,,6,Melville Massiv
Perth Glory-Holerz,7,,,15,Subiaco Silkworms
GMLA Jurassic Pucks,3,,,14,Bicton Bath Salts
Whitfords City Wristies,3,,,23,Scarbra Streisands
Parkwood Benders,,,,,GMLA Guardians
Innaloo Pinguz,,,,,Mosman Park Milkmen
Mindarie Molotovs,,,,,Brentwood Bushchooks
Como Mo Co,8,,,12,Bicton Banter Lords
Cottesloe Clam Hunters,10,,,14,Doubleview Double Yewws
Greenmount Doom,14,,,4,Floreat Flamingos
Hillarys Humpbacks,15,,,5,Karrinyup Bandits
Willo Wonkas,5,,,22,GMLA Angels
Churchlands Hellraisers,14,OT,,15,West Leederville Wobbegongs
Dianella Demons,17,,,8,Dog Swamp Swamp Dogs
