,IsDraw,Winteam,Lossteam,gameplayed
0,False,Como Mo Co,GMLA Guardians,1.0
1,False,Bicton Banter Lords,Mosman Mooseknuckles,1.0
2,False,Bull Creek Buttchuggers,Booragoonbagz,1.0
3,False,City Beach Kooks,Creepy Crawleys,1.0
4,False,GMLA Angels,Claremont Cereal Killahs,1.0
5,False,Como At Me Bro,South Perth Shakas,1.0
6,False,Churchlands Hellraisers,Daglish Dhe Moisties,1.0
7,False,GMLA Jurassic Pucks,Whorebin Grovers,1.0
8,False,Innaloominati,Mt Lawley Chai Lattes,1.0
9,False,Karrakatta Grim Jobs,Lake Mongrels,1.0
10,False,Kensington Kermits,Bicton Four'n Twenty,1.0
11,False,Rosemount Rinsers,Maylands Muthapuckas,1.0
12,False,Yokine Reservoir Dogs,North Perth Bald Beavers,1.0
13,False,Inglewood Coldcuts,Perth Glory Holez,1.0
14,False,Subiaco Silkworms,Swanbourne Nudists,1.0
15,False,West Stirling Banjo Breakers,Whitfords City Wristies,1.0
16,False,Mount Lawless,West Coast Spastic Eagles,1.0
17,False,Mt Pleasant Mounties,Melville Massiv,1.0
18,False,Cottesloe Cowards,Doubleview Double Yewws,1.0
19,False,Wembley Food Courts,Dog Swamp Swamp Dogs,1.0
20,False,Wembley Blue Light Discos,50 Shades of Graylands,1.0
21,False,Greenmount Doom,Bicton Bath Salts,1.0
22,False,Leederphiles Rolferhockey,Hungry Spot Heroes,1.0
23,False,Mindarie Molotovs,Ocean Beef,1.0
24,False,Hillarys Humpbacks,Mullaloozers,1.0
25,False,Balcatta Bandits,Dianella Demons,1.0
26,False,Heathcote Hangers,East Freo Bae Blades,1.0
27,False,Highgate Hommus-sexuals,Get Bentley,1.0
28,False,Salter Point Shooters,Hydepark Hacks,1.0
29,False,Morley Puck Troopers,Scarborough Scar Bros,1.0
30,False,St James Addictions,MosmAnonymous,1.0
31,False,Morning Brentwood,Murray Street Tramps,1.0
32,False,K-Town Cooks,Rocko Rodents,1.0
33,False,Wilson Castaways,South Perth Major Blazers,1.0
34,False,Stirling From The Bottom Now We're Here,USSR,1.0
35,False,Swan View Sharks,Perth City Puck Pirates,1.0
36,False,Black Wall Reach Arounds,How Much Wood Would a Parkwood Park if a Parkwood Could Park Wood,1.0
37,False,Dalkeith Dalqueefs,Manning Manchilds,1.0
38,False,Black Wall Reach Arounds,East Freo Bae Blades,1.0
39,False,South Perth Major Blazers,Get Bentley,1.0
40,False,Salter Point Shooters,Heathcote Hangers,1.0
41,False,Hydepark Hacks,Highgate Hommus-sexuals,1.0
42,False,Scarborough Scar Bros,MosmAnonymous,1.0
43,False,Murray Street Tramps,Rocko Rodents,1.0
44,False,How Much Wood Would a Parkwood Park if a Parkwood Could Park Wood,Manning Manchilds,1.0
45,False,Perth City Puck Pirates,USSR,1.0
46,False,Swan View Sharks,St James Addictions,1.0
47,False,Morning Brentwood,Wilson Castaways,1.0
48,False,Bicton Four'n Twenty,K-Town Cooks,1.0
49,False,Booragoonbagz,Stirling From The Bottom Now We're Here,1.0
50,False,Morley Puck Troopers,Inglewood Coldcuts,1.0
51,False,Karrakatta Grim Jobs,Bull Creek Buttchuggers,1.0
52,False,Subiaco Silkworms,City Beach Kooks,1.0
53,False,Creepy Crawleys,Perth Glory Holez,1.0
54,False,Dalkeith Dalqueefs,Mt Lawley Chai Lattes,1.0
55,False,50 Shades of Graylands,Whorebin Grovers,1.0
56,False,Innaloominati,GMLA Jurassic Pucks,1.0
57,False,Wembley Blue Light Discos,West Coast Spastic Eagles,1.0
58,False,West Stirling Banjo Breakers,Yokine Reservoir Dogs,1.0
59,False,North Perth Bald Beavers,Lake Mongrels,1.0
60,False,Balcatta Bandits,GMLA Guardians,1.0
61,False,Cottesloe Cowards,Claremont Cereal Killahs,1.0
62,False,Bicton Bath Salts,Como At Me Bro,1.0
63,False,Como Mo Co,Bicton Banter Lords,1.0
64,False,Churchlands Hellraisers,Dianella Demons,1.0
65,False,Dog Swamp Swamp Dogs,GMLA Angels,1.0
66,False,Hillarys Humpbacks,Doubleview Double Yewws,1.0
67,False,Mindarie Molotovs,Greenmount Doom,1.0
68,False,Maylands Muthapuckas,Hungry Spot Heroes,1.0
69,False,Kensington Kermits,South Perth Shakas,1.0
70,False,Mount Lawless,Leederphiles Rolferhockey,1.0
71,False,Melville Massiv,Daglish Dhe Moisties,1.0
72,False,Mosman Mooseknuckles,Rosemount Rinsers,1.0
73,False,Mullaloozers,Swanbourne Nudists,1.0
74,False,Ocean Beef,Whitfords City Wristies,1.0
75,False,Wembley Food Courts,Mt Pleasant Mounties,1.0
76,False,Get Bentley,Rocko Rodents,1.0
77,False,Heathcote Hangers,Black Wall Reach Arounds,1.0
78,False,Manning Manchilds,USSR,1.0
79,False,Morley Puck Troopers,K-Town Cooks,1.0
80,False,Highgate Hommus-sexuals,Murray Street Tramps,1.0
81,False,How Much Wood Would a Parkwood Park if a Parkwood Could Park Wood,St James Addictions,1.0
82,False,Hydepark Hacks,Perth City Puck Pirates,1.0
83,False,Salter Point Shooters,MosmAnonymous,1.0
84,False,Scarborough Scar Bros,Stirling From The Bottom Now We're Here,1.0
85,False,Morning Brentwood,South Perth Major Blazers,1.0
86,False,Wilson Castaways,East Freo Bae Blades,1.0
87,False,West Stirling Banjo Breakers,Swan View Sharks,1.0
88,False,Booragoonbagz,50 Shades of Graylands,1.0
89,False,City Beach Kooks,Bull Creek Buttchuggers,1.0
90,False,Creepy Crawleys,Lake Mongrels,1.0
91,False,GMLA Jurassic Pucks,Dalkeith Dalqueefs,1.0
92,False,Yokine Reservoir Dogs,Inglewood Coldcuts,1.0
93,False,North Perth Bald Beavers,Innaloominati,1.0
94,False,Mt Lawley Chai Lattes,Whorebin Grovers,1.0
95,False,Swanbourne Nudists,Perth Glory Holez,1.0
96,False,Subiaco Silkworms,Wembley Blue Light Discos,1.0
97,False,Whitfords City Wristies,West Coast Spastic Eagles,1.0
98,False,Bicton Four'n Twenty,South Perth Shakas,1.0
99,False,Churchlands Hellraisers,Mullaloozers,1.0
100,False,Claremont Cereal Killahs,Bicton Bath Salts,1.0
101,False,Mosman Mooseknuckles,Cottesloe Cowards,1.0
102,False,Daglish Dhe Moisties,Doubleview Double Yewws,1.0
103,False,Balcatta Bandits,Greenmount Doom,1.0
104,False,Mt Pleasant Mounties,Kensington Kermits,1.0
105,False,Leederphiles Rolferhockey,Melville Massiv,1.0
106,False,Bicton Banter Lords,Mindarie Molotovs,1.0
107,False,Mount Lawless,Como Mo Co,1.0
108,False,Ocean Beef,Rosemount Rinsers,1.0
109,False,Dianella Demons,Dog Swamp Swamp Dogs,1.0
110,False,Hungry Spot Heroes,GMLA Angels,1.0
111,False,GMLA Guardians,Wembley Food Courts,1.0
112,False,Hillarys Humpbacks,Como At Me Bro,1.0
113,False,Maylands Muthapuckas,Karrakatta Grim Jobs,1.0
114,False,Perth City Puck Pirates,Rocko Rodents,1.0
115,False,East Freo Bae Blades,Get Bentley,1.0
116,False,Murray Street Tramps,USSR,1.0
117,False,St James Addictions,Manning Manchilds,1.0
118,False,Highgate Hommus-sexuals,MosmAnonymous,1.0
119,False,Hydepark Hacks,Scarborough Scar Bros,1.0
120,False,How Much Wood Would a Parkwood Park if a Parkwood Could Park Wood,Salter Point Shooters,1.0
121,False,South Perth Major Blazers,Stirling From The Bottom Now We're Here,1.0
122,False,Morning Brentwood,Heathcote Hangers,1.0
123,False,Black Wall Reach Arounds,Wilson Castaways,1.0
124,False,50 Shades of Graylands,Bull Creek Buttchuggers,1.0
