ROUND,HOME,SCORE,SCORE,AWAY,OT
1,Como Mo Co,10,9,GMLA Guardians,
1,Bicton Banter Lords,15,12,Mosman Mooseknuckles,
1,Bull Creek Buttchuggers,11,10,Booragoonbagz,
1,City Beach Kooks,8,4,Creepy Crawleys,
1,GMLA Angels,10,8,Claremont Cereal Killahs,
1,Como At Me Bro,13,11,South Perth Shakas,
1,Daglish Dhe Moisties,5,15,Churchlands Hellraisers,
1,Whorebin Grovers,9,15,GMLA Jurassic Pucks,
1,Mt Lawley Chai Lattes,6,11,Innaloominati,
1,Karrakatta Grim Jobs,12,5,Lake Mongrels,
1,Kensington Kermits,20,17,Bicton Four'n Twenty,
1,Maylands Muthapuckas,7,9,Rosemount Rinsers,
1,Yokine Reservoir Dogs,5,4,North Perth Bald Beavers,OT
1,Inglewood Coldcuts,14,9,Perth Glory Holez,
1,Subiaco Silkworms,12,6,Swanbourne Nudists,
1,West Stirling Banjo Breakers,12,11,Whitfords City Wristies,OT
1,Mount Lawless,15,5,West Coast Spastic Eagles,
1,Melville Massiv,8,11,Mt Pleasant Mounties,
1,Doubleview Double Yewws,1,7,Cottesloe Cowards,
1,Dog Swamp Swamp Dogs,12,16,Wembley Food Courts,
1,Wembley Blue Light Discos,11,7,50 Shades of Graylands,
1,Bicton Bath Salts,6,15,Greenmount Doom,
1,Hungry Spot Heroes,5,21,Leederphiles Rolferhockey,
1,Ocean Beef,3,8,Mindarie Molotovs,
1,Mullaloozers,7,8,Hillarys Humpbacks,OT
1,Balcatta Bandits,16,5,Dianella Demons,
1,East Freo Bae Blades,5,10,Heathcote Hangers,
1,Get Bentley,7,19,Highgate Hommus-sexuals,
1,Hydepark Hacks,4,10,Salter Point Shooters,
1,Morley Puck Troopers,15,10,Scarborough Scar Bros,
1,St James Addictions,10,6,MosmAnonymous,
1,Morning Brentwood,11,6,Murray Street Tramps,
1,K-Town Cooks,16,1,Rocko Rodents,
1,Wilson Castaways,12,11,South Perth Major Blazers,
1,Stirling From The Bottom Now We're Here,18,9,USSR,
1,Perth City Puck Pirates,2,21,Swan View Sharks,
1,Black Wall Reach Arounds,5,4,How Much Wood Would a Parkwood Park if a Parkwood Could Park Wood,
1,Dalkeith Dalqueefs,12,9,Manning Manchilds,
2,Black Wall Reach Arounds,13,7,East Freo Bae Blades,
2,South Perth Major Blazers,19,6,Get Bentley,
2,Heathcote Hangers,5,13,Salter Point Shooters,
2,Hydepark Hacks,21,4,Highgate Hommus-sexuals,
2,Scarborough Scar Bros,14,5,MosmAnonymous,
2,Murray Street Tramps,12,6,Rocko Rodents,
