,IsDraw,Winteam,Lossteam,gameplayed
0,False,Churchlands Hellraisers,GMLA Guardians,1.0
1,False,U.S.S.R,Stirling From the Bottom Now We're Here,1.0
2,True,Como Mo Co,Bicton Banter Lords,1.0
3,True,Bayswater Croquet Club,Salter Point Pint Sucklers,1.0
4,False,Labia Menora Explorers,Jason Alexander Heights,1.0
5,False,GMLA Angels,Bayslaughter House 5,1.0
6,False,Mosman Mooseknuckles,Burswood 6100s,1.0
7,False,Balcatta Bandits,Mount Lawless,1.0
8,False,Mullaloozers,Marmion Mighty Drunks,1.0
9,False,Patrick Bateman,Ocean Beef,1.0
10,False,Rollerburger Leedervillains,Whitfords City Turbo Tuggers,1.0
11,False,The Swanbourne Identity,Swanbourne Nudists,1.0
12,False,Yokine Reservoir Dogs,Vic Park Vanguards,1.0
13,False,Wembley Blue Light Discos,Westeros Perth R'hllors,1.0
14,False,Mt Pleasant Mounties,Wembley Food Courts,1.0
15,False,South Perth Major Blazers,Wilson Castaways,1.0
16,False,Bedford Rave Lords,Stirling Archers,1.0
17,False,Doubleview Double Yewws,Hillarys Humpbacks,1.0
18,False,Leeming Chin,East Freo Bae Blades,1.0
19,False,50 Shades of Graylands,Nedlands Flanders,1.0
20,False,Morley Puck Troopers,Manning Manchilds,1.0
21,False,Morning Brentwood,Mindarie molotovs,1.0
22,False,Swan View Draught,St James Addictions,1.0
23,False,Claremont Cereal Killahs,Dog Swamp Swamp Dogs,1.0
24,False,Canning Bridge Trolls,GMLA Jurassic Pucks,1.0
25,False,Como At Me Bro,Booragoonbagz,1.0
26,True,City Beach Kooks,Dalkeith Dalqueefs,1.0
27,False,High Gates,Lake Mongrels,1.0
28,False,Kensington Kermits,Rocko Rodents,1.0
29,True,Perth Glory Holes,Scarborough Scar Bros,1.0
30,False,Hungry Spot Heroes,Inglewood Coldcuts,1.0
31,False,Maylands Muthapuckas,Innaloominati,1.0
32,False,North Perth Bald Beavers,Murray Street Tramps,1.0
33,False,Riverton Regretzkys,Roleystone Henges,1.0
34,False,Palmyra Puck Patrol,Get Bentley,1.0
35,False,Karrakatta Grim Jobs,Dianella Demons,1.0
36,False,Northbridge MDM8's,Bicton Four 'n Twenty,1.0
37,False,Black Wall Reach Arounds,Heathcote Hangers,1.0
38,False,K-Town Cooks,How Much Wood Would A Parkwood Park If A Parkwood Could Park Wood,1.0
39,False,Greenmount Doom,Hyde Park Hacks,1.0
40,False,South Perth Shakas,Subiaco Silkworms,1.0
41,False,North Beach Bearded Clams,Balingup Bruisers,1.0
42,False,Bayswater Barracudas,Shannon Nollamaras,1.0
43,False,Freo Dirty Dog Beachers,Fremantle Metropolis Double Blacks,1.0
44,False,Mörley Crüe,You Used to Como on my Cell Phone,1.0
45,False,Yokine Drugs n' Crime,Mount Hawt'n'horny,1.0
46,False,Rottnest Holy Quokkamoles,Dalkeith Urban's,1.0
47,False,Stoneville Sloths,Kalamunda Hillbillies,1.0
48,False,Scarbara Kadabra,Swanbourne Sand People,1.0
