ROUND,HOME,SCORE,SCORE,AWAY,OT
1,GMLA Guardians,9,10,Churchlands Hellraisers,
1,Stirling From the Bottom Now We're Here,9,10,U.S.S.R,
1,Bicton Banter Lords,14,15,Como Mo Co,OT
1,Bayswater Croquet Club,15,14,Salter Point Pint Sucklers,OT
1,Labia Menora Explorers,19,5,Jason Alexander Heights,
1,GMLA Angels,14,7,Bayslaughter House 5,
1,Mosman Mooseknuckles,16,7,Burswood 6100s,
1,Mount Lawless,8,22,Balcatta Bandits,
1,Mullaloozers,22,9,Marmion Mighty Drunks,
1,Ocean Beef,6,10,Patrick Bateman,
1,Rollerburger Leedervillains,12,10,Whitfords City Turbo Tuggers,
1,The Swanbourne Identity,12,8,Swanbourne Nudists,
1,Vic Park Vanguards,5,7,Yokine Reservoir Dogs,
1,Wembley Blue Light Discos,6,3,Westeros Perth R'hllors,
1,Wembley Food Courts,4,16,Mt Pleasant Mounties,
1,Wilson Castaways,5,8,South Perth Major Blazers,
1,Bedford Rave Lords,7,6,Stirling Archers,
1,Hillarys Humpbacks,5,9,Doubleview Double Yewws,
1,East Freo Bae Blades,3,13,Leeming Chin,
1,Nedlands Flanders,6,7,50 Shades of Graylands,
1,Manning Manchilds,10,13,Morley Puck Troopers,
1,Morning Brentwood,8,5,Mindarie molotovs,
1,St James Addictions,5,12,Swan View Draught,
1,Dog Swamp Swamp Dogs,2,11,Claremont Cereal Killahs,
1,Canning Bridge Trolls,11,7,GMLA Jurassic Pucks,
1,Como At Me Bro,15,11,Booragoonbagz,
1,Dalkeith Dalqueefs,8,9,City Beach Kooks,OT
1,High Gates,13,11,Lake Mongrels,
1,Kensington Kermits,16,3,Rocko Rodents,
1,Perth Glory Holes,3,3,Scarborough Scar Bros,
1,Hungry Spot Heroes,12,6,Inglewood Coldcuts,
1,Maylands Muthapuckas,12,4,Innaloominati,
1,North Perth Bald Beavers,12,7,Murray Street Tramps,
1,Riverton Regretzkys,14,5,Roleystone Henges,
1,Palmyra Puck Patrol,9,8,Get Bentley,
1,Karrakatta Grim Jobs,14,4,Dianella Demons,
1,Northbridge MDM8's,17,9,Bicton Four 'n Twenty,
1,Heathcote Hangers,9,13,Black Wall Reach Arounds,
1,How Much Wood Would A Parkwood Park If A Parkwood Could Park Wood,4,10,K-Town Cooks,
1,Hyde Park Hacks,5,14,Greenmount Doom,
1,South Perth Shakas,11,9,Subiaco Silkworms,
1,Balingup Bruisers,8,9,North Beach Bearded Clams,
1,Bayswater Barracudas,10,8,Shannon Nollamaras,
1,Fremantle Metropolis Double Blacks,6,16,Freo Dirty Dog Beachers,
1,Mörley Crüe,9,6,You Used to Como on my Cell Phone,
