,HOME,homescore,awayscore,AWAY,IsDraw
0,Shenton Park Speed Dealers,13,11,Karrakatta Grim Jobs,FALSE
1,Floreat Flamingos,12,10,Karrinyup Bandits,FALSE
2,GMLA Guardians,12,7,GMLA Angels,FALSE
3,South Perth Puckaneers,12,8,Bicton Bath Salts,FALSE
4,Melville Massiv,7,9,Bicton Banter Lords,FALSE
5,Mullaloozers,8,9,Ocean Beef,TRUE
6,Dianella Demons,13,11,Greenmount Doom,FALSE
7,Scarbra Streisands,5,6,Innaloo Pinguz,TRUE
8,Mosman Park Milkmen,6,14,Brentwood Bushchooks,FALSE
9,Hillarys Humpbacks,6,8,Mindarie Molotovs,FALSE
10,Willo Wonkas,14,15,Parkwood Benders,FALSE
11,Perth Glory-Holerz,8,21,Maylands Muthapuckas,FALSE
12,Como Mo Co,15,5,Gravel Road GrindRs,FALSE
13,GMLA Jurassic Pucks,21,8,Inglewood ColdCuts,FALSE
14,Creepy Crawleys,8,13,Claremont Cereal Killahs,FALSE
15,Hungry Spot Heroes,8,9,Mt Pleasant Mounties,FALSE
16,North Perth Bald Beavers,9,8,Dog Swamp Swamp Dogs,FALSE
17,Cottesloe Clam Hunters,3,4,Churchlands Hellraisers,FALSE
18,Innaloominati,7,5,Gravel Road GrindRs,FALSE
19,Freo Fussy Puckers,8,15,Subiaco Silkworms,FALSE
20,Whitfords City Wristies,12,4,Freo Fussy Puckers,FALSE
21,Brentwood Bushchooks,18,6,Parkwood Benders,FALSE
22,Mosman Park Milkmen,8,6,Cottesloe Clam Hunters,FALSE
23,Churchlands Hellraisers,7,9,Doubleview Double Yewws,FALSE
24,Scarbra Streisands,9,12,GMLA Guardians,FALSE
25,Innaloo Pinguz,0,10,Mindarie Molotovs,FALSE
26,Hillarys Humpbacks,7,10,Floreat Flamingos,FALSE
27,Greenmount Doom,14,12,GMLA Angels,FALSE
28,Kensington Kermits,12,13,Willo Wonkas,FALSE
29,Bicton Banter Lords,10,9,Mt Pleasant Mounties,FALSE
30,Claremont Cereal Killahs,3,8,South Perth Puckaneers,FALSE
31,Ocean Beef,5,6,Karrinyup Bandits,FALSE
32,North Perth Bald Beavers,4,13,Dianella Demons,FALSE
33,Dog Swamp Swamp Dogs,15,11,Hungry Spot Heroes,FALSE
34,Maylands Muthapuckas,4,13,Mullaloozers,FALSE
35,Innaloominati,12,7,GMLA Jurassic Pucks,FALSE
36,Karrakatta Grim Jobs,16,8,Bicton Bath Salts,FALSE
37,Shenton Park Speed Dealers,14,10,Creepy Crawleys,FALSE
38,Inglewood Coldcuts,9,11,Perth Glory-Holerz,FALSE
39,Melville Massiv,9,12,Como Mo Co,FALSE
40,Mindarie Molotovs,10,5,Scarbra Streisands,FALSE
41,Brentwood Bushchooks,15,9,Como Mo Co,FALSE
42,Parkwood Benders,25,16,Whitfords City Wristies,FALSE
43,GMLA Guardians,12,6,Innaloo Pinguz,FALSE
44,Churchlands Hellraisers,7,6,Floreat Flamingos,FALSE
45,Bicton Banter Lords,10,6,Kensington Kermits,FALSE
46,Karrinyup Bandits,7,7,Willo Wonkas,TRUE
47,Cottesloe Clam Hunters,11,5,Hillarys Humpbacks,FALSE
48,Greenmount Doom,5,8,Doubleview Double Yewws,FALSE
49,West Leederville Wobbegongs,9,6,South Perth Puckaneers,FALSE
50,Claremont Cereal Killahs,4,19,Dianella Demons,FALSE
51,Mt Pleasant Mounties,8,10,Shenton Park Speed Dealers,FALSE
52,Hungry Spot Heroes,7,11,Maylands Muthapuckas,FALSE
53,Ocean Beef,3,5,North Perth Bald Beavers,FALSE
54,Gravel Road GrindRs,13,7,Freo Fussy Puckers,FALSE
55,Innaloominati,7,11,Inglewood ColdCuts,FALSE
56,Mullaloozers,10,14,Creepy Crawleys,FALSE
57,Karrakatta Grim Jobs,3,6,Melville Massiv,FALSE
58,Perth Glory-Holerz,7,15,Subiaco Silkworms,FALSE
59,GMLA Jurassic Pucks,3,14,Bicton Bath Salts,FALSE
60,Whitfords City Wristies,3,23,Scarbra Streisands,FALSE
61,Como Mo Co,8,12,Bicton Banter Lords,FALSE
62,Cottesloe Clam Hunters,10,14,Doubleview Double Yewws,FALSE
63,Greenmount Doom,14,4,Floreat Flamingos,FALSE
64,Hillarys Humpbacks,15,5,Karrinyup Bandits,FALSE
65,Willo Wonkas,5,22,GMLA Angels,FALSE
66,Churchlands Hellraisers,14,15,West Leederville Wobbegongs,TRUE
67,Dianella Demons,17,8,Dog Swamp Swamp Dogs,FALSE
68,Maylands Muthapuckas,7,6,Claremont Cereal Killahs,TRUE
69,South Perth Puckaneers,11,8,North Perth Bald Beavers,FALSE
70,Ocean Beef,5,6,Shenton Park Speed Dealers,FALSE
71,Kensington Kermits,11,9,GMLA Jurassic Pucks,FALSE
72,Melville Massiv,8,15,Mt Pleasant Mounties,FALSE
73,Creepy Crawleys,15,13,Subiaco Silkworms,FALSE
74,Bicton Bath Salts,14,4,Freo Fussy Puckers,FALSE
75,Inglewood Coldcuts,9,13,Mullaloozers,FALSE
76,Gravel Road GrindRs,6,14,Karrakatta Grim Jobs,FALSE
77,Perth Glory-Holerz,4,11,Innaloominati,FALSE
78,GMLA Guardians,17,5,Mosman Park Milkmen,FALSE
79,Parkwood Benders,18,15,Como Mo Co,FALSE
80,Scarbra Streisands,15,6,Churchlands Hellraisers,FALSE
81,Mindarie Molotovs,7,12,Greenmount Doom,FALSE
82,Karrinyup Bandits,9,6,Doubleview Double Yewws,FALSE
83,Dianella Demons,11,5,Hillarys Humpbacks,FALSE
84,Kensington Kermits,7,10,Mt Pleasant Mounties,FALSE
85,Floreat Flamingos,3,8,Bicton Banter Lords,FALSE
86,GMLA Angels,12,3,Claremont Cereal Killahs,FALSE
87,Hungry Spot Heroes,12,5,North Perth Bald Beavers,FALSE
88,Dog Swamp Swamp Dogs,13,12,Karrakatta Grim Jobs,FALSE
89,West Leederville Wobbegongs,4,5,Cottesloe Clam Hunters,FALSE
90,Whitfords City Wristies,9,12,Ocean Beef,FALSE
91,South Perth Puckaneers,11,12,Willo Wonkas,TRUE
92,Maylands Muthapuckas,17,8,Innaloominati,FALSE
93,Bicton Bath Salts,13,20,Shenton Park Speed Dealers,FALSE
94,GMLA Jurassic Pucks,8,13,Gravel Road GrindRs,FALSE
95,Inglewood Coldcuts,7,17,Melville Massiv,FALSE
96,Subiaco Silkworms,9,10,Mullaloozers,FALSE
97,Freo Fussy Puckers,6,9,Creepy Crawleys,FALSE
98,Bicton Banter Lords,2,11,Brentwood Bushchooks,FALSE
99,Doubleview Double Yewws,9,10,GMLA Guardians,TRUE
100,Mosman Park Milkmen,12,5,Floreat Flamingos,FALSE
101,Greenmount Doom,19,11,Parkwood Benders,FALSE
102,Hillarys Humpbacks,3,9,Scarbra Streisands,FALSE
103,Karrinyup Bandits,9,5,West Leederville Wobbegongs,FALSE
104,Willo Wonkas,13,12,Dog Swamp Swamp Dogs,TRUE
105,Perth Glory-Holerz,4,19,Ocean Beef,FALSE
106,Freo Fussy Puckers,12,11,Kensington Kermits,TRUE
107,Cottesloe Clam Hunters,10,7,Dianella Demons,FALSE
108,Churchlands Hellraisers,11,10,Innaloo Pinguz,FALSE
109,Whitfords City Wristies,12,11,Mullaloozers,FALSE
110,Mindarie Molotovs,10,4,Claremont Cereal Killahs,FALSE
111,Shenton Park Speed Dealers,12,11,Subiaco Silkworms,TRUE
112,Creepy Crawleys,11,20,Como Mo Co,FALSE
113,GMLA Angels,9,5,Inglewood ColdCuts,FALSE
114,Mt Pleasant Mounties,9,8,South Perth Puckaneers,FALSE
115,Hungry Spot Heroes,9,7,Melville Massiv,FALSE
116,North Perth Bald Beavers,16,11,Innaloominati,FALSE
117,Maylands Muthapuckas,6,7,Karrakatta Grim Jobs,FALSE
118,Gravel Road GrindRs,8,12,Bicton Bath Salts,FALSE
119,Scarbra Streisands,8,5,Parkwood Benders,FALSE
120,Mosman Park Milkmen,5,8,Bicton Banter Lords,FALSE
121,Brentwood Bushchooks,6,3,Karrinyup Bandits,FALSE
122,Churchlands Hellraisers,14,17,Greenmount Doom,FALSE
123,Dianella Demons,5,9,West Leederville Wobbegongs,FALSE
124,Hillarys Humpbacks,15,4,Gravel Road GrindRs,FALSE
125,Cottesloe Clam Hunters,9,7,Shenton Park Speed Dealers,FALSE
126,GMLA Angels,8,14,Como Mo Co,FALSE
127,Willo Wonkas,7,12,Mt Pleasant Mounties,FALSE
128,Dog Swamp Swamp Dogs,12,5,Whitfords City Wristies,FALSE
129,Floreat Flamingos,15,6,Ocean Beef,FALSE
130,South Perth Puckaneers,6,7,Kensington Kermits,FALSE
131,Maylands Muthapuckas,11,10,Bicton Bath Salts,TRUE
132,Claremont Cereal Killahs,7,3,North Perth Bald Beavers,FALSE
133,Creepy Crawleys,5,11,Hungry Spot Heroes,FALSE
134,Subiaco Silkworms,24,10,Inglewood ColdCuts,FALSE
135,Mullaloozers,6,13,Karrakatta Grim Jobs,FALSE
136,Melville Massiv,11,6,Freo Fussy Puckers,FALSE
137,Perth Glory-Holerz,14,7,GMLA Jurassic Pucks,FALSE
138,Bicton Bath Salts,7,6,Bicton Banter Lords,FALSE
139,Mt Pleasant Mounties,7,12,Brentwood Bushchooks,FALSE
140,Churchlands Hellraisers,10,4,Hungry Spot Heroes,FALSE
141,Claremont Cereal Killahs,1,11,Cottesloe Clam Hunters,FALSE
142,Como Mo Co,20,7,South Perth Puckaneers,FALSE
143,Inglewood ColdCuts,13,20,Creepy Crawleys,FALSE
144,Karrinyup Bandits,8,6,Dianella Demons,FALSE
145,Freo Fussy Puckers,11,19,Dog Swamp Swamp Dogs,FALSE
146,Doubleview Double Yewws,16,10,Shenton Park Speed Dealers,FALSE
147,Floreat Flamingos,4,8,Mindarie Molotovs,FALSE
148,Maylands Muthapuckas,3,15,GMLA Guardians,FALSE
149,Karrakatta Grim Jobs,16,7,GMLA Jurassic Pucks,FALSE
150,Kensington Kermits,14,13,Gravel Road GrindRs,TRUE
151,Whitfords City Wristies,10,15,Greenmount Doom,FALSE
152,North Perth Bald Beavers,5,6,HIllarys Humpbacks,FALSE
153,Innaloominati,4,14,Melville Massiv,FALSE
154,Scarbra Streisands,11,6,Mosman Park MIlkmen,FALSE
155,Mullaloozers,10,5,Perth Glory-Holerz,FALSE
156,Ocean Beef,13,5,Subiaco Silkworms,FALSE
157,Bicton Banter Lords,3,16,GMLA Guardians,FALSE
158,Bicton Bath Salts,8,11,Mt Pleasant Mounties,FALSE
159,Churchlands Hellraisers,5,8,Karrinyup Bandits,FALSE
160,Claremont Cereal Killahs,4,6,Karrakatta Grim Jobs,FALSE
161,Ocean Beef,6,7,Cottesloe Clam Hunters,FALSE
162,GMLA Jurassic Pucks,10,17,Creepy Crawleys,FALSE
163,Freo Fussy Puckers,16,10,Inglewood Coldcuts,FALSE
164,Whitfords City Wristies,16,8,Floreat Flamingos,FALSE
165,Willo Wonkas,14,17,Greenmount Doom,FALSE
166,Hungry Spot Heroes,6,14,Mullaloozers,FALSE
167,Parkwood Benders,8,16,Mindarie Molotovs,FALSE
168,Subiaco SIlkworms,12,5,North Perth Bald Beavers,FALSE
169,Mosman Park Milkmen,12,4,Maylands Muthapuckas,FALSE
170,Como Mo Co,14,4,Hillarys Humpbacks,FALSE
