,IsDraw,Winteam,Lossteam,gameplayed
0,FALSE,chick park,applecross dressers,1
1,FALSE,fremantle cappuccino strippers,cottesloe's hottest hoes,1
2,FALSE,nedlands yung puccbois,dalkeith dalqueefs,1
3,FALSE,perth on heat,attafail whales,1
4,TRUE,bicton bath salts,south perth puckaneers,1
5,FALSE,whorebin grovers,booragoonbags,1
6,FALSE,lake mongrels,innaloominati,1
7,FALSE,city beach groins,swanbourne nudists,1
8,FALSE,mosman mooseknuckles,maylands muthapuckas,1
9,FALSE,mount lawless,inglewood coldcuts,1
10,FALSE,west coast spastic eagles,wembley blue light discos,1
11,FALSE,rosemount rinsers,mt lawley chai lattes,1
12,FALSE,bull creek buttchuggers,como at me bro,1
13,FALSE,city beach kooks,50 shades of graylands,1
14,FALSE,cotteslowbros,creepy crawleys,1
15,FALSE,ocean beef,mullaloozers,1
16,FALSE,wembley food courts,karrakatta grim jobs,1
17,FALSE,doubleview double yewws,subiaco silkworms,1
18,FALSE,shenton park speed dealers,freo fussy puckers,1
19,TRUE,hungry spot heroes,gmla angels,1
20,FALSE,claremont cereal killahs,gmla jurassic pucks,1
21,FALSE,mt pleasant mounties,perth glory holez,1
22,TRUE,churchlands hellraisers,wembley food caughts,1
23,FALSE,greenmount doom,balcatta bandits,1
24,FALSE,daglish dhe moisties,leederphiles rolferhockey,1
25,FALSE,willo wonkas,melville massiv,1
26,FALSE,dog swamp swamp dogs,north perth bald beavers,1
27,TRUE,scarbra streisands,whitfords city wristies,1
28,FALSE,gmla guardians,mindarie molotovs,1
29,FALSE,como mo co,bicton banter lords,1
30,FALSE,dianella demons,kensington kermits,1
31,FALSE,hillarys humpbacks,west stirling banjo breakers,1
32,FALSE,fremantle cappuccino strippers,applecross dressers,1
33,FALSE,perth on heat,chick park,1
34,FALSE,nedlands yung puccbois,cottesloe's hottest hoes,1
35,FALSE,dalkeith dalqueefs,attafail whales,1
36,FALSE,swanbourne nudists,booragoonbags,1
37,FALSE,gmla jurassic pucks,whorebin grovers,1
38,FALSE,north perth bald beavers,innaloominati,1
39,FALSE,lake mongrels,west coast spastic eagles,1
40,FALSE,balcatta bandits,churchlands hellraisers,1
41,FALSE,como mo co,willo wonkas,1
42,FALSE,gmla guardians,bicton banter lords,1
43,FALSE,melville massiv,karrakatta grim jobs,1
44,FALSE,wembley food caughts,cotteslowbros,1
45,FALSE,wembley food courts,daglish dhe moisties,1
46,FALSE,whitfords city wristies,leederphiles rolferhockey,1
47,FALSE,greenmount doom,dog swamp swamp dogs,1
48,FALSE,mindarie molotovs,scarbra streisands,1
49,FALSE,doubleview double yewws,west stirling banjo breakers,1
50,FALSE,freo fussy puckers,creepy crawleys,1
51,FALSE,bicton bath salts,50 shades of graylands,1
52,FALSE,claremont cereal killahs,inglewood coldcuts,1
53,TRUE,hungry spot heroes,maylands muthapuckas,1
54,FALSE,hillarys humpbacks,mullaloozers,1
55,FALSE,ocean beef,subiaco silkworms,1
56,FALSE,kensington kermits,south perth puckaneers,1
57,FALSE,mt pleasant mounties,shenton park speed dealers,1
58,FALSE,mosman mooseknuckles,city beach kooks,1
59,TRUE,wembley blue light discos,mt lawley chai lattes,1
60,FALSE,bull creek buttchuggers,city beach groins,1
61,FALSE,mount lawless,rosemount rinsers,1
